run,label,step,tool_call_count_mean,reward_mean
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",6,1.96875,0.470703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",7,2.123046875,0.4296875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",8,1.83984375,0.44140625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",9,2.0078125,0.44921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",10,2.109375,0.392578125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",11,1.779296875,0.494140625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",12,1.802734375,0.439453125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",13,1.94140625,0.45703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",14,2.169921875,0.419921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",15,1.775390625,0.4296875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",16,1.939453125,0.470703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",17,1.767578125,0.478515625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",18,1.876953125,0.458984375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",19,1.837890625,0.41015625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",20,2.046875,0.4375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",21,1.96875,0.4375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",22,1.970703125,0.474609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",23,1.853515625,0.51171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",24,1.67578125,0.474609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",25,1.69140625,0.46484375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",26,1.716796875,0.412109375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",27,1.900390625,0.482421875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",28,1.845703125,0.53125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",29,1.822265625,0.43359375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",30,2.228515625,0.44921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",31,1.998046875,0.404296875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",32,2.162109375,0.451171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",33,2.056640625,0.46484375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",34,2.056640625,0.46484375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",35,2.0234375,0.4609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",36,1.8359375,0.435546875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",37,1.9453125,0.462890625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",38,1.97265625,0.423828125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",39,1.98046875,0.4296875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",40,2.01953125,0.466796875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",41,2.080078125,0.458984375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",42,1.900390625,0.45703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",43,2.0234375,0.482421875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",44,1.83203125,0.44140625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",45,1.916015625,0.46875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",46,2.17578125,0.44921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",47,2.27734375,0.44921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",48,2.2265625,0.431640625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",49,1.953125,0.447265625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",50,1.931640625,0.443359375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",51,2.169921875,0.439453125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",52,2.15234375,0.4609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",53,2.232421875,0.4375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",54,2.15234375,0.451171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",55,1.96484375,0.453125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",56,2.0234375,0.513671875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",57,2.537109375,0.45703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",58,2.103515625,0.4609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",59,2.37890625,0.435546875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",60,2.21484375,0.4609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",61,2.39453125,0.41796875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",62,2.396484375,0.4375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",63,2.4765625,0.451171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",64,2.3046875,0.455078125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",65,2.291015625,0.4296875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",66,2.236328125,0.470703125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",67,2.01953125,0.482421875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",68,2.1953125,0.484375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",69,2.009765625,0.4609375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",70,2.3125,0.439453125
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",71,2.3359375,0.4140625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",72,2.421875,0.458984375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",73,2.224609375,0.443359375
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",74,2.375,0.419921875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",75,2.357421875,0.41015625
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",76,2.189453125,0.51171875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",77,2.283203125,0.482421875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",78,2.029296875,0.388671875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",79,2.564453125,0.41796875
base_t12_ignore_exceed_0527,"base init, T12 ignore-exceed",80,2.404296875,0.400390625
